Adrar,Touat-Cheikh Sidi Mohamed Belkebir Airport,AZR
Algiers,Houari Boumedienne Airport,ALG
Annaba,Rabah Bitat Airport,AAE
Batna,Batna Airport,BLJ
Bejaia,Soummam Airport,BJA
Oumache,Biskra Airport,BSK
Chlef,Chlef International Airport,CFK
Constantine,Mohamed Boudiaf Airport,CZL
Hassi Messaoud,Oued Irara Airport,HME
Jijel,Jijel Ferhat Abbas Airport,GJL
Oran,Oran Es Senia Airport,ORN
Sétif,Ain Arnat Airport,QSF
Tamanrasset,Tamanrasset Airport,TMR
Tlemcen,Zenata Airport,TLM
Luanda,Quatro de Fevereiro Airport,LAD
Lubango,Lubango Airport,SDD
Cotonou,Cadjehoun Airport,COO
Gaborone,Sir Seretse Khama International Airport,GBE
Maun,Maun Airport,MUB
Francistown,Francistown Airport,FRW
Kasane,Kasane Airport,BBK
Bobo-Dioulasso,Bobo Dioulasso Airport,BOY
Ouagadougou,Ouagadougou Airport,OUA
Bujumbura,Bujumbura International Airport,BJM
Douala,Douala Airport,DLA
Yaoundé,Nsimalen Airport,NSI
Boa Vista Island,Aristides Pereira International Airport,BVC
Sal Island,Amílcar Cabral International Airport,SID
"Praia, Santiago Island",Nelson Mandela International Airport,RAI
Sao Vicente Island,Cesária Évora Airport,VXE
Bangui,M'Poko International Airport,BGF
N'Djamena,N'Djamena International Airport,NDJ
"Moroni, Comoros",Prince Said Ibrahim International Airport,HAH
Abidjan,Port Bouet Airport,ABJ
Goma,Goma International Airport,GOM
Kinshasa,N'djili Airport,FIH
Kisangani,Bangoka International Airport,FKI
Lubumbashi,Lubumbashi International Airport,FBM
Brazzaville,Maya-Maya Airport,BZV
Pointe-Noire,Pointe Noire Airport,PNR
Djibouti City,Djibouti–Ambouli International Airport,JIB
Alexandria,Borg El Arab Airport,HBE
Alexandria,Alexandria International Airport,ALY
Asyut,Assiut Airport,ATZ
Aswan,Aswan International Airport,ASW
Cairo,Cairo International Airport,CAI
El Arish,El Arish International Airport,AAC
El Dabaa,Al Alamain International Airport,DBB
Hurghada,Hurghada International Airport,HRG
Luxor,Luxor International Airport,LXR
Marsa Alam,Marsa Alam International Airport,RMF
Mersa Matruh,Mersa Matruh Airport,MUH
Saint Catherine,St. Catherine International Airport,SKV
Sharm el-Sheikh,Sharm el-Sheikh International Airport,SSH
Sohag,Sohag International Airport,HMB
Taba,Taba International Airport,TCP
Malabo,Malabo International Airport,SSG
Asmara,Asmara International Airport,ASM
Manzini,King Mswati III International Airport,SHO
Addis Ababa,Addis Ababa Bole International Airport,ADD
Dire Dawa,Aba Tenna Dejazmach Yilma International Airport,DIR
